"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C6","3","4u7","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C3,C4,C5,C10","4","47u","","","","Capacitor_THT:CP_Radial_D7.5mm_P2.50mm","~"
"C7","1","150n","","","","","~"
"C8,C16,C18,C30","4","22u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C9","1","47p","","","","Capacitor_THT:C_Disc_D4.7mm_W2.5mm_P5.00mm","~"
"C11","1","22n","","","","","~"
"C12","1","33n","","","","","~"
"C13","1","47n","","","","","~"
"C14","1","100n","","","","","~"
"C15","1","33u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C17","1","10u","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","~"
"C20","1","220n","","","","","~"
"C21,C22","2","4n7","","","","","~"
"C23,C25,C35","3","10n","","","","","~"
"C26","1","4u7","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~"
"C31,C32","2","470n","","","","","~"
"C33,C34","2","100u","","","","Capacitor_THT:CP_Radial_D8.0mm_P3.80mm","~"
"L1","1","5m6","","","","Inductor_THT:L_Radial_D7.0mm_P3.00mm","~"
"L2","1","170m","","","","","~"
"Q1,Q4,Q5,Q8,Q9,Q12","6","BC549","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC550-D.pdf"
"Q2,Q3,Q6,Q7,Q10,Q11","6","BD139","","","","Package_TO_SOT_THT:TO-126-3_Vertical","http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00001225.pdf"
"R1","1","10k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R2,R25,R34","3","12k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R3","1","15k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R4,R14,R35","3","820R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R5,R6","2","30R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R7","1","33R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R8","1","6k2","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R9","1","3k9","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R10,R17","2","100R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R11","1","2k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R12","1","68k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R13","1","20k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R15","1","51R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R16","1","22R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R18,R52,R54,R100","4","1k3","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R19,R22,R30","3","1k2","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R20,R26","2","100k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R21,R37","2","1k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R23,R33,R36","3","10R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R27","1","39k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R28,R53","2","3k3","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R32","1","51k","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R50,R51","2","750R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"R101","1","620R","","","","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","~"
"RV1","1","10k","","","","","~"
"RV2","1","2k5","","","","","~"
"RV3","1","100k","","","","","~"
"RV4,RV18,RV29,RV31","4","5k","","","","","~"
"TP1","1","1.1V","","Excluded from BOM","","","~"
"TP2","1","TestPoint","","Excluded from BOM","","","~"
"V1","1","24","","Excluded from BOM","Excluded from board","","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#sec_Independent_Sources_for"
"V2","1","VSIN","","Excluded from BOM","Excluded from board","","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#sec_Independent_Sources_for"
